antecedent,consequent,support,confidence,lift,itemset_size,min_support,min_confidence,min_lift,parameter_set,rule_id
rolls/buns,whole milk,0.0569,0.307,1.1799,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000001
tropical fruit,whole milk,0.0423,0.4014,1.5428,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000002
frozen meals,whole milk,0.0106,0.3668,1.41,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000003
brown bread,whole milk,0.0263,0.4058,1.5599,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000004
citrus fruit,whole milk,0.032,0.3741,1.4381,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000005
white bread,other vegetables,0.0139,0.3221,1.6724,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000006
other vegetables,whole milk,0.0752,0.3906,1.5015,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000007
white bread,whole milk,0.0167,0.3859,1.4833,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000008
onions,other vegetables,0.0129,0.4428,2.2987,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000009
margarine,other vegetables,0.0206,0.3389,1.7594,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000010
oil,whole milk,0.0105,0.3892,1.4959,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000011
meat,whole milk,0.0112,0.4254,1.6351,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000012
beef,other vegetables,0.0189,0.3662,1.9011,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000013
frankfurter,rolls/buns,0.0196,0.3285,1.7707,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000014
long life bakery product,whole milk,0.0137,0.3658,1.4059,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000015
newspapers,whole milk,0.0289,0.3625,1.3932,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000016
bottled water,whole milk,0.0349,0.3141,1.2074,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000017
coffee,whole milk,0.0195,0.3427,1.3173,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000018
fruit/vegetable juice,whole milk,0.028,0.3697,1.4211,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000019
sugar,whole milk,0.0148,0.4454,1.712,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000020
sugar,other vegetables,0.0106,0.3188,1.6549,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000021
yogurt,whole milk,0.0568,0.4023,1.5462,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000022
pork,whole milk,0.0225,0.4036,1.5515,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000023
berries,whole milk,0.0122,0.3574,1.3739,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000024
pip fruit,whole milk,0.0289,0.3933,1.5116,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000025
butter,whole milk,0.028,0.5052,1.942,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000026
sausage,whole milk,0.0321,0.3405,1.3089,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000027
root vegetables,other vegetables,0.0453,0.4205,2.183,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000028
chicken,other vegetables,0.0177,0.4207,2.184,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000029
root vegetables,whole milk,0.049,0.4542,1.7457,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000030
domestic eggs,whole milk,0.0289,0.4523,1.7384,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000031
pastry,whole milk,0.035,0.3887,1.4941,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000032
margarine,whole milk,0.0259,0.4248,1.6329,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000033
napkins,whole milk,0.0195,0.384,1.4758,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000034
whipped/sour cream,whole milk,0.0324,0.4588,1.7637,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000035
cream cheese,whole milk,0.0161,0.4173,1.6039,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000036
sausage,rolls/buns,0.0304,0.322,1.736,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000037
frankfurter,whole milk,0.0209,0.3504,1.3467,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000038
dessert,whole milk,0.0135,0.3591,1.3802,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000039
berries,yogurt,0.0115,0.3362,2.3809,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000040
berries,other vegetables,0.0107,0.3149,1.6348,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000041
butter,other vegetables,0.0211,0.3796,1.9706,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000042
ham,whole milk,0.0119,0.4432,1.7037,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000043
yogurt,other vegetables,0.0433,0.3066,1.5916,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000044
beef,whole milk,0.0221,0.4282,1.6457,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000045
tropical fruit,other vegetables,0.0352,0.3338,1.7329,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000046
pork,other vegetables,0.0205,0.3672,1.9063,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000047
hamburger meat,other vegetables,0.0138,0.4025,2.0898,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000048
cream cheese,other vegetables,0.0125,0.3233,1.6785,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000049
curd,whole milk,0.0264,0.4919,1.8907,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000050
cream cheese,yogurt,0.0122,0.3158,2.2365,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000051
onions,whole milk,0.0115,0.393,1.5107,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000052
waffles,whole milk,0.0137,0.3481,1.3382,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000053
curd,yogurt,0.0173,0.3216,2.2778,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000054
chicken,whole milk,0.0179,0.4241,1.6302,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000055
hard cheese,whole milk,0.0105,0.4186,1.609,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000056
pip fruit,other vegetables,0.0247,0.336,1.7442,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000057
domestic eggs,other vegetables,0.0231,0.3614,1.876,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000058
frozen vegetables,whole milk,0.0222,0.465,1.7875,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000059
whipped/sour cream,other vegetables,0.0273,0.3868,2.0083,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000060
frozen vegetables,other vegetables,0.0174,0.3647,1.8936,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000061
citrus fruit,other vegetables,0.0289,0.3384,1.757,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000062
sliced cheese,whole milk,0.0115,0.4731,1.8183,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000063
chocolate,whole milk,0.0182,0.3561,1.3688,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000064
hygiene articles,whole milk,0.0131,0.3782,1.4535,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000065
hamburger meat,whole milk,0.0154,0.4492,1.7264,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000066
butter milk,other vegetables,0.0103,0.3757,1.9503,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000067
butter milk,whole milk,0.0122,0.4444,1.7083,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000068
beef,root vegetables,0.0171,0.3324,3.0838,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000069
curd,other vegetables,0.0167,0.3108,1.6136,2,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000070
rolls/buns;tropical fruit,whole milk,0.0112,0.4451,1.7108,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000071
other vegetables;fruit/vegetable juice,whole milk,0.0113,0.5166,1.9855,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000072
whole milk;fruit/vegetable juice,other vegetables,0.0113,0.4041,2.0981,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000073
rolls/buns;other vegetables,whole milk,0.0176,0.4246,1.6319,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000074
