antecedent,consequent,support,confidence,lift,itemset_size,min_support,min_confidence,min_lift,parameter_set,rule_id
bread,butter,0.4286,0.6,1.4,2,0.1,0.3,1.0,s0.1_c0.3_l1.0,rule_000001
butter,bread,0.4286,1.0,1.4,2,0.1,0.3,1.0,s0.1_c0.3_l1.0,rule_000002
butter,milk;bread,0.2857,0.6667,1.5556,3,0.1,0.3,1.0,s0.1_c0.3_l1.0,rule_000003
bread,milk;butter,0.2857,0.4,1.4,3,0.1,0.3,1.0,s0.1_c0.3_l1.0,rule_000004
milk;butter,bread,0.2857,1.0,1.4,3,0.1,0.3,1.0,s0.1_c0.3_l1.0,rule_000005
milk;bread,butter,0.2857,0.6667,1.5556,3,0.1,0.3,1.0,s0.1_c0.3_l1.0,rule_000006
bread,eggs;butter,0.2857,0.4,1.4,3,0.1,0.3,1.0,s0.1_c0.3_l1.0,rule_000007
butter,eggs;bread,0.2857,0.6667,1.5556,3,0.1,0.3,1.0,s0.1_c0.3_l1.0,rule_000008
eggs;bread,butter,0.2857,0.6667,1.5556,3,0.1,0.3,1.0,s0.1_c0.3_l1.0,rule_000009
eggs;butter,bread,0.2857,1.0,1.4,3,0.1,0.3,1.0,s0.1_c0.3_l1.0,rule_000010
butter,eggs;milk;bread,0.1429,0.3333,2.3333,4,0.1,0.3,1.0,s0.1_c0.3_l1.0,rule_000011
eggs;butter,milk;bread,0.1429,0.5,1.1667,4,0.1,0.3,1.0,s0.1_c0.3_l1.0,rule_000012
eggs;bread,milk;butter,0.1429,0.3333,1.1667,4,0.1,0.3,1.0,s0.1_c0.3_l1.0,rule_000013
milk;butter,eggs;bread,0.1429,0.5,1.1667,4,0.1,0.3,1.0,s0.1_c0.3_l1.0,rule_000014
milk;bread,eggs;butter,0.1429,0.3333,1.1667,4,0.1,0.3,1.0,s0.1_c0.3_l1.0,rule_000015
eggs;milk;butter,bread,0.1429,1.0,1.4,4,0.1,0.3,1.0,s0.1_c0.3_l1.0,rule_000016
eggs;milk;bread,butter,0.1429,1.0,2.3333,4,0.1,0.3,1.0,s0.1_c0.3_l1.0,rule_000017
butter,milk;bread,0.2857,0.6667,1.5556,3,0.1,0.3,1.5,s0.1_c0.3_l1.5,rule_000018
milk;bread,butter,0.2857,0.6667,1.5556,3,0.1,0.3,1.5,s0.1_c0.3_l1.5,rule_000019
butter,eggs;bread,0.2857,0.6667,1.5556,3,0.1,0.3,1.5,s0.1_c0.3_l1.5,rule_000020
eggs;bread,butter,0.2857,0.6667,1.5556,3,0.1,0.3,1.5,s0.1_c0.3_l1.5,rule_000021
butter,eggs;milk;bread,0.1429,0.3333,2.3333,4,0.1,0.3,1.5,s0.1_c0.3_l1.5,rule_000022
eggs;milk;bread,butter,0.1429,1.0,2.3333,4,0.1,0.3,1.5,s0.1_c0.3_l1.5,rule_000023
bread,butter,0.4286,0.6,1.4,2,0.1,0.5,1.0,s0.1_c0.5_l1.0,rule_000024
butter,bread,0.4286,1.0,1.4,2,0.1,0.5,1.0,s0.1_c0.5_l1.0,rule_000025
butter,milk;bread,0.2857,0.6667,1.5556,3,0.1,0.5,1.0,s0.1_c0.5_l1.0,rule_000026
milk;butter,bread,0.2857,1.0,1.4,3,0.1,0.5,1.0,s0.1_c0.5_l1.0,rule_000027
milk;bread,butter,0.2857,0.6667,1.5556,3,0.1,0.5,1.0,s0.1_c0.5_l1.0,rule_000028
butter,eggs;bread,0.2857,0.6667,1.5556,3,0.1,0.5,1.0,s0.1_c0.5_l1.0,rule_000029
