antecedent,consequent,support,confidence,lift,itemset_size,min_support,min_confidence,min_lift,rule_id
butter,bread,0.4286,1.0,1.4,2,0.1,0.3,1.0,apriori_rule_0001
bread,butter,0.4286,0.6,1.4,2,0.1,0.3,1.0,apriori_rule_0002
butter,milk;bread,0.2857,0.6667,1.5556,3,0.1,0.3,1.0,apriori_rule_0003
bread,butter;milk,0.2857,0.4,1.4,3,0.1,0.3,1.0,apriori_rule_0004
butter;milk,bread,0.2857,1.0,1.4,3,0.1,0.3,1.0,apriori_rule_0005
milk;bread,butter,0.2857,0.6667,1.5556,3,0.1,0.3,1.0,apriori_rule_0006
butter,eggs;bread,0.2857,0.6667,1.5556,3,0.1,0.3,1.0,apriori_rule_0007
bread,butter;eggs,0.2857,0.4,1.4,3,0.1,0.3,1.0,apriori_rule_0008
butter;eggs,bread,0.2857,1.0,1.4,3,0.1,0.3,1.0,apriori_rule_0009
eggs;bread,butter,0.2857,0.6667,1.5556,3,0.1,0.3,1.0,apriori_rule_0010
butter,milk;eggs;bread,0.1429,0.3333,2.3333,4,0.1,0.3,1.0,apriori_rule_0011
butter;eggs,milk;bread,0.1429,0.5,1.1667,4,0.1,0.3,1.0,apriori_rule_0012
butter;milk,eggs;bread,0.1429,0.5,1.1667,4,0.1,0.3,1.0,apriori_rule_0013
eggs;bread,butter;milk,0.1429,0.3333,1.1667,4,0.1,0.3,1.0,apriori_rule_0014
milk;bread,butter;eggs,0.1429,0.3333,1.1667,4,0.1,0.3,1.0,apriori_rule_0015
butter;eggs;milk,bread,0.1429,1.0,1.4,4,0.1,0.3,1.0,apriori_rule_0016
milk;eggs;bread,butter,0.1429,1.0,2.3333,4,0.1,0.3,1.0,apriori_rule_0017
